station_id,n_training_batches,n_validation_batches,source,size_bin,fold,block,lat,long,nearest_other_fold_km_blocked,nearest_other_fold_km_random
BOMAustralia__919006A,8,4,BOMAustralia,0,1,52,-17.435,143.82,68.7939778727159,12.638953628693173
BOMAustralia__919007A,7,3,BOMAustralia,0,1,52,-16.711,144.813,160.7486056709422,31.158594721475307
BOMAustralia__919008A,8,5,BOMAustralia,0,1,52,-17.325,143.85,79.72456847828221,12.638953628693173
BOMAustralia__919013A,118,52,BOMAustralia,1,1,52,-16.498,145.003,178.00835807458876,31.158594721475307
BOMAustralia__919201A,163,71,BOMAustralia,1,1,52,-16.108,144.778,225.79229827679077,44.15504663852892
BOMAustralia__919202A,8,5,BOMAustralia,0,1,52,-16.082,144.331,191.99241160845958,8.835306151738813
BOMAustralia__919203A,11,6,BOMAustralia,0,1,52,-15.908,143.363,120.20577230024458,37.80306506285379
BOMAustralia__919204A,155,68,BOMAustralia,1,1,52,-16.042,143.038,130.55872418863873,37.80306506285379
BOMAustralia__919205A,6,3,BOMAustralia,0,1,52,-16.013,144.29,183.5050046099918,8.835306151738813
BOMAustralia__919305B,8,4,BOMAustralia,0,1,52,-17.178,145.302,98.82755650531129,15.991490339771788
BOMAustralia__919309A,154,67,BOMAustralia,1,1,52,-16.547,143.785,166.04134005940156,36.540183664488694
BOMAustralia__919310A,161,70,BOMAustralia,1,1,52,-16.983,144.288,119.03330066645735,40.75658213591157
BOMAustralia__919311A,185,81,BOMAustralia,2,1,52,-17.182,144.899,108.8862647000704,42.81443485305063
BOMAustralia__919312A,5,3,BOMAustralia,0,1,52,-16.66,144.107,151.8269594253247,28.590405010547567
BOMAustralia__920001A,6,4,BOMAustralia,0,4,102,-14.621,143.079,106.40771192083989,27.566845584323936
BOMAustralia__920002A,9,5,BOMAustralia,0,4,102,-14.868,143.057,93.71099791946457,27.566845584323936
BOMAustralia__920003A,7,4,BOMAustralia,0,4,102,-15.148,141.798,139.83762990695703,86.3763922679
BOMAustralia__921001A,7,3,BOMAustralia,0,4,102,-14.247,143.166,131.07554651651398,25.99821654139153
BOMAustralia__921002A,8,5,BOMAustralia,0,4,102,-14.471,142.192,196.06486690087013,86.3763922679
BOMAustralia__922001A,188,82,BOMAustralia,2,4,102,-13.418,142.922,224.23270604362546,65.771469159236
BOMAustralia__922101B,163,71,BOMAustralia,1,4,102,-13.956,143.175,158.506087219443,32.37227728562693
BOMAustralia__923001A,151,66,BOMAustralia,1,4,102,-13.128,142.053,302.9235830107313,37.13953334288104
BOMAustralia__924001A,7,5,BOMAustralia,0,4,102,-12.817,142.178,322.626043527733,24.44865352758969
BOMAustralia__924101A,7,4,BOMAustralia,0,4,102,-12.608,142.248,338.27537734114145,23.083756538208096
BOMAustralia__925001A,172,75,BOMAustralia,2,4,102,-12.455,142.639,334.41931947438604,36.642943932391
BOMAustralia__925003A,11,6,BOMAustralia,0,4,102,-12.408,142.305,354.68199531906663,23.083756538208096
BOMAustralia__926001A,10,6,BOMAustralia,0,4,102,-12.128,142.375,379.2556334776462,32.05014245496093
BOMAustralia__926002A,165,72,BOMAustralia,1,4,102,-11.832,142.422,407.45326461046767,9.274879790425786
BOMAustralia__926003A,11,5,BOMAustralia,0,4,102,-11.826,142.507,404.69055534828567,9.274879790425786
BOMAustralia__A0040502,3,1,BOMAustralia,0,4,108,-29.922,139.666,414.73420770701307,96.70749840267534
BOMAustralia__A0040508,2,1,BOMAustralia,0,4,108,-30.672,139.156,323.1764216295979,48.698710521871966
BOMAustralia__A2390504,40,19,BOMAustralia,0,1,43,-37.219,139.992,113.1283575096748,12.528404338666034
BOMAustralia__A2390505,192,85,BOMAustralia,2,1,43,-37.168,139.849,106.74716681770484,13.878133730509312
BOMAustralia__A2390506,237,104,BOMAustralia,3,1,43,-36.796,139.9,65.53517529566791,32.48424071247406
BOMAustralia__A2390510,63,30,BOMAustralia,0,1,43,-37.105,140.058,101.45286154906934,8.050827786603332
BOMAustralia__A2390515,128,55,BOMAustralia,1,1,43,-37.343,140.563,141.28122925804772,8.48849256664553
BOMAustralia__A2390519,173,76,BOMAustralia,2,1,43,-37.089,140.748,126.54825676744946,16.020928284259995
BOMAustralia__A2390523,101,45,BOMAustralia,0,1,43,-37.684,140.389,170.96959195709883,6.572058067153714
BOMAustralia__A2390527,98,45,BOMAustralia,0,1,43,-37.162,140.114,108.6605087007241,8.050827786603332
BOMAustralia__A2390532,127,56,BOMAustralia,1,1,43,-37.657,140.317,166.3815314584373,3.895800956926112
BOMAustralia__A2390533,113,52,BOMAustralia,1,1,43,-37.692,140.315,170.10747220041463,3.895800956926112
BOMAustralia__A2390534,102,46,BOMAustralia,0,1,43,-36.314,140.774,83.67968559759512,8.352923052905632
BOMAustralia__A2390535,4,2,BOMAustralia,0,1,43,-36.387,140.796,87.08334805090774,6.021856332060016
BOMAustralia__A2390536,62,27,BOMAustralia,0,1,43,-37.268,140.887,149.76894650054564,23.405502718030277
BOMAustralia__A2390542,86,38,BOMAustralia,0,1,43,-36.945,140.742,114.28096285868251,16.020928284259995
BOMAustralia__A2390556,129,57,BOMAustralia,1,1,43,-36.645,140.212,58.39663810556523,13.628608329504601
BOMAustralia__A2390562,46,22,BOMAustralia,0,1,43,-36.366,140.734,81.15709497227903,6.021856332060016
BOMAustralia__A2390563,69,31,BOMAustralia,0,1,43,-36.546,140.302,55.22709066519477,13.628608329504601
BOMAustralia__A2390565,75,34,BOMAustralia,0,1,43,-36.723,140.343,72.2695699943413,14.549309056470216
BOMAustralia__A2391001,18,11,BOMAustralia,0,1,43,-37.276,140.517,132.79684046245143,8.48849256664553
BOMAustralia__A2391007,56,26,BOMAustralia,0,3,54,-36.208,139.85,26.265964808117886,26.265964808117886
BOMAustralia__A2391023,148,65,BOMAustralia,1,1,43,-36.483,140.169,41.84880123087539,13.796729966632268
BOMAustralia__A2391092,27,17,BOMAustralia,0,1,43,-36.401,140.019,26.265964808117886,16.222629764181224
BOMAustralia__A2391146,85,44,BOMAustralia,0,1,43,-37.228,140.492,127.03568873941717,14.246869647900377
BOMAustralia__A4260500,10,4,BOMAustralia,0,4,108,-34.147,141.535,87.41538493611397,29.19480366804581
BOMAustralia__A4260502,13,6,BOMAustralia,0,4,108,-34.048,141.278,69.52589774449875,11.334193490961015
BOMAustralia__A4260503,151,66,BOMAustralia,1,3,54,-35.227,138.858,167.33152171210284,13.59281424046247
BOMAustralia__A4260504,185,81,BOMAustralia,2,3,54,-35.323,138.673,170.52768484824534,9.218173516682002
BOMAustralia__A4260530,154,67,BOMAustralia,1,3,54,-35.444,138.692,160.00364250202932,8.06307945666761
BOMAustralia__A4260533,141,61,BOMAustralia,1,3,54,-35.209,139.006,160.97361160538003,8.70556080869448
BOMAustralia__A4260536,23,11,BOMAustralia,0,3,54,-33.842,139.083,152.81829850544443,41.54628069029189
BOMAustralia__A4260580,23,17,BOMAustralia,0,4,108,-33.921,140.952,50.26037216102344,5.837297261255457
BOMAustralia__A4260584,30,14,BOMAustralia,0,3,54,-34.232,140.556,39.26720323291819,14.180196890653715
BOMAustralia__A4260588,32,16,BOMAustralia,0,3,54,-34.416,140.641,51.95422826299176,11.076953023434234
BOMAustralia__A4260600,78,41,BOMAustralia,0,4,108,-33.972,140.967,47.62211552380688,5.837297261255457
BOMAustralia__A4260688,137,62,BOMAustralia,1,3,54,-35.133,139.029,166.90430810531984,8.70556080869448
BOMAustralia__A4261011,138,59,BOMAustralia,1,3,54,-34.703,139.469,150.70338695006816,15.792374700985134
BOMAustralia__A4261014,143,62,BOMAustralia,1,3,54,-34.639,139.176,171.02464363020354,11.916648769891548
BOMAustralia__A4261020,99,48,BOMAustralia,0,3,54,-35.387,138.747,160.75030043120168,6.091631271931701
BOMAustralia__A4261029,78,34,BOMAustralia,0,3,54,-34.82,139.371,165.26038059003474,15.792374700985134
BOMAustralia__A4261075,111,53,BOMAustralia,1,3,54,-35.314,138.774,164.9154141458372,5.598461855403737
BOMAustralia__A4261077,31,20,BOMAustralia,0,3,54,-35.471,138.81,150.13655883859136,11.101334771987618
BOMAustralia__A4261091,111,55,BOMAustralia,1,4,108,-33.986,140.862,39.26720323291819,9.806146974871256
BOMAustralia__A4261101,115,51,BOMAustralia,1,3,54,-35.28,138.918,159.32994161150233,11.233549052745811
BOMAustralia__A4261103,100,50,BOMAustralia,0,3,54,-35.358,138.804,159.4754001332254,3.695367738086172
BOMAustralia__A4261174,96,49,BOMAustralia,0,3,54,-34.742,139.212,173.21215908011817,11.916648769891548
BOMAustralia__A4261208,86,39,BOMAustralia,0,3,54,-35.39,138.815,156.20194125435185,3.695367738086172
BOMAustralia__A4261225,65,34,BOMAustralia,0,3,54,-34.359,140.542,50.8614416775416,11.076953023434234
BOMAustralia__A5010500,116,51,BOMAustralia,1,3,54,-35.462,138.582,166.25427606798053,9.119781190346053
BOMAustralia__A5010503,130,57,BOMAustralia,1,3,54,-35.544,138.58,160.77604907965568,9.119781190346053
BOMAustralia__A5011006,143,66,BOMAustralia,1,3,54,-35.483,138.31,184.63016168825067,24.741796788463336
BOMAustralia__A5011029.1,68,34,BOMAustralia,0,3,54,-35.458,138.347,183.45819418789605,21.28872634405017
BOMAustralia__A5030500.1,47,20,BOMAustralia,0,3,54,-35.112,138.635,190.10032319786453,3.58113262086434
BOMAustralia__A5030502,176,77,BOMAustralia,2,3,54,-35.101,138.672,188.86401516092207,3.58113262086434
BOMAustralia__A5030503,143,63,BOMAustralia,1,3,54,-35.14,138.607,189.43877269675886,4.022199542141325
BOMAustralia__A5030506.1,49,22,BOMAustralia,0,3,54,-35.128,138.728,183.3118776792765,5.912595222448757
BOMAustralia__A5030522,11,6,BOMAustralia,0,3,54,-35.171,138.52,192.3183402056236,8.627860997778177
BOMAustralia__A5030537,159,69,BOMAustralia,1,3,54,-35.019,138.792,189.43663994333485,13.447009534860106
BOMAustralia__A5030547.1,91,40,BOMAustralia,0,3,54,-35.126,138.481,198.37952034754272,4.440260193722249
BOMAustralia__A5040500.1,141,64,BOMAustralia,1,3,54,-34.822,138.852,204.82867803300292,10.60798311776059
BOMAustralia__A5040503,166,73,BOMAustralia,2,3,54,-34.755,138.699,216.14754979868658,5.0126264027982215
BOMAustralia__A5040521,21,10,BOMAustralia,0,3,54,-35.048,138.617,196.59541218578568,7.302537395721953
BOMAustralia__A5040523.1,141,63,BOMAustralia,1,3,54,-34.872,138.753,204.9227636013774,10.60798311776059
BOMAustralia__A5040546,38,18,BOMAustralia,0,3,54,-34.818,138.618,216.84498015175387,4.255537707651681
BOMAustralia__A5040901.1,97,42,BOMAustralia,0,3,54,-34.947,138.588,206.99122255828377,11.537165485342184
BOMAustralia__A5041009.1,48,23,BOMAustralia,0,3,54,-34.828,138.573,218.34889946771995,3.8855689429879825
BOMAustralia__A5041021.1,63,32,BOMAustralia,0,3,54,-35.088,138.496,200.5132152803133,4.440260193722249
BOMAustralia__A5041022.1,30,14,BOMAustralia,0,3,54,-34.962,138.514,209.9471718926043,13.396045552942198
BOMAustralia__A5041024.1,53,26,BOMAustralia,0,3,54,-34.814,138.534,221.7210710118746,3.8855689429879825
BOMAustralia__A5041036.1,43,21,BOMAustralia,0,3,54,-34.763,138.753,211.9576450842648,5.0126264027982215
BOMAustralia__A5050504,45,22,BOMAustralia,0,3,54,-34.562,138.772,202.4363209367501,11.316957270840732
BOMAustralia__A5050510.1,63,28,BOMAustralia,0,3,54,-34.64,138.541,216.96076235276837,10.687264653630345
BOMAustralia__A5050512,9,5,BOMAustralia,0,3,54,-34.365,138.921,183.46253136351731,25.81560319873745
BOMAustralia__A5050532,154,66,BOMAustralia,1,3,54,-34.357,138.973,178.6108509922839,29.312316844691384
BOMAustralia__A5050540,44,24,BOMAustralia,0,3,54,-34.676,138.663,215.9999429395235,3.484154593001921
BOMAustralia__A5050543,105,50,BOMAustralia,1,3,54,-34.453,139.064,173.2793234232445,23.08634300943316
BOMAustralia__A5051007,19,9,BOMAustralia,0,3,54,-34.682,138.848,200.46277667596587,4.157616535452625
BOMAustralia__A5051009,10,6,BOMAustralia,0,3,54,-34.662,138.795,204.15214124497703,5.332659009925075
BOMAustralia__A5051010.1,41,21,BOMAustralia,0,3,54,-34.717,138.864,200.617940170446,4.157616535452625
BOMAustralia__A5060500,167,72,BOMAustralia,2,3,54,-34.1,138.631,160.36588614314135,4.567356678441864
BOMAustralia__A5060502,92,41,BOMAustralia,0,3,54,-34.007,138.679,151.91124741782988,7.451127346408315
BOMAustralia__A5061008,142,63,BOMAustralia,1,3,54,-34.059,138.628,155.92423097047464,4.567356678441864
BOMAustralia__A5070500,139,61,BOMAustralia,1,3,54,-33.613,138.632,109.66729735284045,8.641637944930226
BOMAustralia__A5070501,148,65,BOMAustralia,1,3,54,-33.54,138.6,101.06003293842373,8.641637944930226
BOMAustralia__A5090502,108,47,BOMAustralia,1,4,108,-31.954,138.1,182.44844222323516,40.31072279631632
BOMAustralia__A5090503,145,63,BOMAustralia,1,4,108,-32.095,138.292,163.23388528507934,41.330771140946545
BOMAustralia__A5091002,101,49,BOMAustralia,0,4,108,-32.718,138.137,101.06003293842373,70.7861463579199
BOMAustralia__A5100502,6,3,BOMAustralia,0,4,108,-31.749,138.452,199.63154916864707,40.31072279631632
BOMAustralia__A5100507,1,1,BOMAustralia,0,4,108,-30.643,138.648,322.1634228761408,24.80257975083934
BOMAustralia__A5100510,2,1,BOMAustralia,0,4,108,-30.608,138.392,326.6117701124522,1.3648739652584738
BOMAustralia__A5100511,4,2,BOMAustralia,0,4,108,-30.62,138.389,325.29691169444357,1.3648739652584738
BOMAustralia__A5120500,135,59,BOMAustralia,1,3,54,-34.571,135.858,294.871678209474,11.918524580952479
BOMAustralia__A5120503,137,60,BOMAustralia,1,3,54,-34.468,135.822,289.54016657792204,11.918524580952479
BOMAustralia__DD505501.1,43,19,BOMAustralia,0,3,54,-34.706,138.652,218.1124339622618,3.484154593001921
BOMAustralia__DD505503.1,60,27,BOMAustralia,0,3,54,-34.728,138.588,224.44986021197718,8.96886865534815
BOMAustralia__G0010005,11,5,BOMAustralia,0,1,63,-20.047,137.018,387.03265309145536,130.16256364167714
BOMAustralia__G0050115,73,31,BOMAustralia,0,1,53,-24.352,133.436,813.6684115918019,80.2800781947244
BOMAustralia__G0050116,49,21,BOMAustralia,0,1,53,-24.552,133.24,828.2922254130574,80.93157815990055
BOMAustralia__G0050139,2,1,BOMAustralia,0,1,53,-23.965,132.768,751.9308863753552,80.2800781947244
BOMAustralia__G0060009,93,40,BOMAustralia,0,1,53,-23.695,133.886,763.5546970262394,4.246839764005754
BOMAustralia__G0060017,42,18,BOMAustralia,0,1,53,-23.69,133.987,767.472573848876,10.299128568148406
BOMAustralia__G0060041,68,29,BOMAustralia,0,1,53,-23.844,134.088,787.3665790444657,19.971830705057695
BOMAustralia__G0060046,124,53,BOMAustralia,1,1,53,-23.633,133.882,757.1420845578256,2.478677680285148
BOMAustralia__G0060047,75,32,BOMAustralia,0,1,53,-23.648,133.864,757.8715813191188,2.478677680285148
BOMAustralia__G0060126,44,19,BOMAustralia,0,1,53,-23.728,133.865,765.9802135128343,4.246839764005754
BOMAustralia__G0280010,36,16,BOMAustralia,0,1,53,-22.371,133.328,606.07793663139,151.35090543844424
BOMAustralia__G0280114,8,4,BOMAustralia,0,1,53,-20.333,134.238,426.524322089123,41.85631391110376
BOMAustralia__G0290002,15,6,BOMAustralia,0,1,53,-19.564,134.214,350.10183795114074,43.70273851226261
BOMAustralia__G0290004,5,2,BOMAustralia,0,1,63,-19.292,136.068,281.4586387858231,130.16256364167714
BOMAustralia__G0290012,12,5,BOMAustralia,0,1,53,-19.957,134.219,389.001733660078,41.85631391110376
BOMAustralia__G0290228,39,17,BOMAustralia,0,1,53,-18.882,134.094,292.8404283301371,76.8744493353264
BOMAustralia__G8100106,87,38,BOMAustralia,0,0,56,-15.398,129.011,116.5845386916773,5.815558958805998
BOMAustralia__G8100210,107,47,BOMAustralia,1,0,56,-15.405,129.194,98.13423307548436,13.830646692763201
BOMAustralia__G8100225,101,44,BOMAustralia,0,0,56,-15.403,129.065,110.97940414539566,5.815558958805998
BOMAustralia__G8110004,98,43,BOMAustralia,0,2,18,-15.764,130.031,36.54360624757515,36.54360624757515
BOMAustralia__G8110006,121,52,BOMAustralia,1,0,56,-15.933,129.738,36.54360624757515,17.57018675492178
BOMAustralia__G8110012,82,36,BOMAustralia,0,2,18,-15.762,130.523,86.09618419283078,86.09618419283078
BOMAustralia__G8110016,84,37,BOMAustralia,0,2,18,-17.447,130.841,205.2856437643836,102.8275827367217
BOMAustralia__G8110107,41,18,BOMAustralia,0,0,56,-15.943,129.574,52.78001027821681,17.57018675492178
BOMAustralia__G8110232,25,11,BOMAustralia,0,2,18,-16.526,130.754,126.94062059991369,88.463274469507
BOMAustralia__G8140001,127,56,BOMAustralia,1,2,18,-14.462,132.258,316.02396883421983,3.1797675344783545
BOMAustralia__G8140008,142,62,BOMAustralia,1,2,91,-14.071,131.977,317.31926360724987,5.610447542946437
BOMAustralia__G8140011,41,18,BOMAustralia,0,2,18,-15.087,132.413,301.65267546862765,54.39378574292332
BOMAustralia__G8140022,82,37,BOMAustralia,0,2,18,-14.315,132.42,339.4772317366412,9.60918413392536
BOMAustralia__G8140044,124,54,BOMAustralia,1,2,18,-14.788,131.566,233.7208710700629,16.156614904492248
BOMAustralia__G8140060,70,31,BOMAustralia,0,2,91,-14.032,131.944,317.5281430268371,5.610447542946437
BOMAustralia__G8140063,152,67,BOMAustralia,1,2,91,-13.798,131.34,291.97333482058025,11.69029264120192
BOMAustralia__G8140086,102,45,BOMAustralia,0,2,18,-14.628,132.588,338.38466445000597,39.223662188124976
BOMAustralia__G8140152,145,64,BOMAustralia,1,2,18,-14.168,132.074,318.4843312487346,15.024930409143003
BOMAustralia__G8140157,109,49,BOMAustralia,1,2,18,-14.283,131.876,293.82883314801774,24.879240222989928
BOMAustralia__G8140158,21,10,BOMAustralia,0,2,18,-14.349,132.338,329.9943485508875,9.60918413392536
BOMAustralia__G8140161,125,55,BOMAustralia,1,2,91,-13.74,131.098,276.1496276649559,16.741175847966964
BOMAustralia__G8140205,83,41,BOMAustralia,0,2,18,-14.688,131.675,249.63710963715434,16.156614904492248
BOMAustralia__G8140219,88,40,BOMAustralia,0,2,18,-13.973,132.775,392.3423526788948,53.95686045544792
BOMAustralia__G8140222,79,40,BOMAustralia,0,2,18,-14.49,132.252,313.8551896547418,3.1797675344783545
BOMAustralia__G8140325,94,46,BOMAustralia,0,2,91,-13.838,131.158,273.88048959449895,8.526384502515475
BOMAustralia__G8140535,110,54,BOMAustralia,1,2,18,-14.426,132.287,320.78299333941663,5.076965226787586
BOMAustralia__G8140538,98,49,BOMAustralia,0,2,91,-13.814,131.233,281.8297601719694,8.526384502515475
BOMAustralia__G8145749,44,25,BOMAustralia,0,2,91,-14.118,131.441,272.35318276243646,37.21417778407769
BOMAustralia__G8150010,148,65,BOMAustralia,1,2,91,-13.024,130.952,325.5726643011092,16.747066294724675
BOMAustralia__G8150018,80,35,BOMAustralia,0,2,91,-12.606,131.074,371.4806639353947,3.0342046889736793
BOMAustralia__G8150028,90,41,BOMAustralia,0,2,91,-12.709,131.002,357.62174149154214,9.4266603635585
BOMAustralia__G8150036,31,14,BOMAustralia,0,2,91,-12.592,131.05,371.386900733581,3.0342046889736793
BOMAustralia__G8150098,133,58,BOMAustralia,1,2,91,-12.773,130.945,348.2927002486181,7.9931313642573745
BOMAustralia__G8150151,47,21,BOMAustralia,0,2,91,-12.91,131.053,342.2480661509345,13.677644159705178
BOMAustralia__G8150179,100,44,BOMAustralia,0,2,91,-12.462,131.084,385.596934857147,16.048818201093738
BOMAustralia__G8150180,166,73,BOMAustralia,2,2,91,-12.97,130.762,319.18428366776817,21.443634285778124
BOMAustralia__G8150321,34,17,BOMAustralia,0,2,91,-12.834,130.906,340.3001563760775,7.9931313642573745
BOMAustralia__G8170002,184,80,BOMAustralia,2,2,91,-13.241,131.108,316.88760864406936,19.838209936685153
BOMAustralia__G8170005,144,63,BOMAustralia,1,2,91,-12.948,131.27,353.1617204732381,5.751176086851463
BOMAustralia__G8170006,36,17,BOMAustralia,0,2,91,-13.422,131.31,317.08669604149594,29.711201041931396
BOMAustralia__G8170008,112,49,BOMAustralia,1,2,91,-13.418,131.085,300.4758954339591,19.838209936685153
BOMAustralia__G8170020,245,109,BOMAustralia,3,2,91,-12.91,131.234,354.02800285071703,5.751176086851463
BOMAustralia__G8170066,95,42,BOMAustralia,0,2,91,-13.013,131.122,337.53221625844503,13.677644159705178
BOMAustralia__G8170084,145,63,BOMAustralia,1,2,91,-13.09,131.234,338.5167782144614,14.849116469380574
BOMAustralia__G8170085,121,53,BOMAustralia,1,2,91,-12.782,131.148,359.81627510026215,17.014787112269463
BOMAustralia__G8180026,60,28,BOMAustralia,0,2,91,-13.602,132.221,372.08380141253434,26.591022297573755
BOMAustralia__G8180035,76,34,BOMAustralia,0,2,91,-12.907,131.646,383.4466111163769,41.003819411810646
BOMAustralia__G8180069,41,19,BOMAustralia,0,2,91,-13.532,131.718,341.4786962995882,33.19008755881481
BOMAustralia__G8180252,28,13,BOMAustralia,0,2,91,-13.676,131.987,348.4684227654826,26.591022297573755
BOMAustralia__G8190001,23,11,BOMAustralia,0,2,91,-12.792,132.174,433.22389173924535,47.13798564391198
BOMAustralia__G8190072,10,6,BOMAustralia,0,2,91,-12.498,131.861,432.7796827794785,47.13798564391198
BOMAustralia__G8200045,58,27,BOMAustralia,0,2,91,-13.526,132.522,401.5642145841106,33.615730697746784
BOMAustralia__G8210009,65,29,BOMAustralia,0,2,91,-12.608,132.899,502.6837686928611,48.54253641868838
BOMAustralia__G8210010,84,37,BOMAustralia,0,2,91,-12.718,133.332,526.9539380648924,48.54253641868838
BOMAustralia__G9030089,174,76,BOMAustralia,2,2,18,-14.562,133.105,392.0535308274257,38.4452529664687
BOMAustralia__G9030124,34,15,BOMAustralia,0,2,18,-16.265,133.396,300.25468181635455,148.37207534164997
BOMAustralia__G9030176,143,62,BOMAustralia,1,2,18,-14.943,133.208,387.8646886502734,43.789068880927296
BOMAustralia__G9030514,67,35,BOMAustralia,0,2,18,-14.322,133.362,428.252031788413,38.4452529664687
BOMAustralia__G9070132,147,64,BOMAustralia,1,2,18,-16.453,136.086,311.41022594226956,287.7630015369304
BOMAustralia__G9070142,111,48,BOMAustralia,1,2,18,-16.778,135.758,281.4586387858231,258.176759238833
BOMAustralia__ME650,132,64,BOMAustralia,1,1,28,-37.896,144.128,127.93279303977737,0.36817789833092335
BOMAustralia__ME670C,113,55,BOMAustralia,1,1,28,-37.607,144.79,69.52626965564345,2.943862627630273
BOMAustralia__R0060007,23,15,BOMAustralia,0,1,53,-23.542,133.947,750.8918040999655,12.093947241960143
BOMAustralia__RE690,137,66,BOMAustralia,1,1,28,-37.509,144.15,91.06119781182088,16.747110912490335
CAMELSH__01011000,179,77,CAMELSH,2,1,96,47.07,-69.08,287.7360731551577,41.918790711718096
CAMELSH__01013500,188,86,CAMELSH,2,1,96,47.237,-68.583,324.47297573456,41.918790711718096
CAMELSH__01015800,157,72,CAMELSH,1,1,96,46.523,-68.372,271.0258890243992,34.08811374219527
CAMELSH__01017000,164,73,CAMELSH,1,1,96,46.777,-68.157,303.2254463260266,12.816141273693479
CAMELSH__01017060,75,37,CAMELSH,0,1,96,46.784,-67.989,312.09595672357045,12.145716932461456
CAMELSH__01017290,79,38,CAMELSH,0,1,96,46.889,-67.945,323.12239381845296,12.145716932461456
CAMELSH__01017550,124,59,CAMELSH,1,1,96,46.628,-67.953,301.1658257889939,17.56226355411216
CAMELSH__01017960,108,51,CAMELSH,1,1,96,46.105,-67.881,266.7535236713231,1.0793408265146824
CAMELSH__01018000,54,28,CAMELSH,0,1,96,46.105,-67.867,267.621157607661,1.0793408265146824
CAMELSH__01018009,68,33,CAMELSH,0,1,96,46.115,-67.84,269.956429079446,2.3597976289980562
CAMELSH__01019000,252,114,CAMELSH,3,1,96,45.173,-67.769,218.82036964043618,41.50899695715079
CAMELSH__01021200,112,54,CAMELSH,1,1,96,44.901,-67.248,246.34058611160035,39.21190228313256
CAMELSH__01021470,137,64,CAMELSH,1,1,96,44.801,-67.725,207.13332626078764,12.455719865132279
CAMELSH__01021480,171,80,CAMELSH,2,1,96,44.937,-67.736,210.90616701969734,15.147335391734556
CAMELSH__01021500,34,20,CAMELSH,0,1,96,44.723,-67.52,220.75415445215268,18.362669995281326
CAMELSH__01022260,50,25,CAMELSH,0,1,96,44.698,-67.787,199.55614303948408,12.455719865132279
CAMELSH__01022330,25,16,CAMELSH,0,1,96,44.741,-68.013,183.44115457969644,16.02347716850815
CAMELSH__01022500,221,98,CAMELSH,3,1,96,44.608,-67.935,186.03539189305485,15.40145743661967
CAMELSH__01027200,107,50,CAMELSH,1,1,96,45.935,-69.994,143.9649691335679,66.20774040700357
CAMELSH__01029200,127,60,CAMELSH,1,1,96,46.143,-68.634,226.0914498778431,46.797744228936324
CAMELSH__01029500,131,63,CAMELSH,1,1,96,45.73,-68.589,197.9209305002582,33.658275193928546
CAMELSH__01030500,193,85,CAMELSH,2,1,96,45.501,-68.306,203.07284872860686,33.658275193928546
CAMELSH__01031300,146,68,CAMELSH,1,1,96,45.267,-69.584,105.20446630967854,23.421075084536362
CAMELSH__01031450,141,66,CAMELSH,1,1,96,45.184,-69.452,107.86408916383756,10.784587971379386
CAMELSH__01031500,190,85,CAMELSH,2,1,96,45.175,-69.315,116.46838380808332,6.789084694505347
CAMELSH__01031510,85,42,CAMELSH,0,1,96,45.15,-69.236,120.56397899918186,6.789084694505347
CAMELSH__01033000,52,26,CAMELSH,0,1,96,45.27,-69.112,135.52449543390256,19.043850131344616
CAMELSH__01034000,185,84,CAMELSH,2,1,96,45.261,-68.869,151.79185030571506,19.043850131344616
CAMELSH__01037380,150,69,CAMELSH,1,1,96,44.329,-69.061,93.26168273503986,44.040666046201835
CAMELSH__01038000,233,103,CAMELSH,3,1,96,44.223,-69.594,50.928593947628315,44.040666046201835
CAMELSH__01042500,248,114,CAMELSH,3,1,96,45.34,-69.962,91.85677857096164,22.079550026770598
CAMELSH__01043500,70,37,CAMELSH,0,1,96,45.23,-70.2,72.09637725390333,9.901735112411535
CAMELSH__01044550,122,57,CAMELSH,1,1,96,45.314,-70.242,79.44703124487077,9.901735112411535
CAMELSH__01046000,87,42,CAMELSH,0,1,96,45.065,-69.881,72.91430351657331,1.4979342340615518
CAMELSH__01046500,248,113,CAMELSH,3,1,96,45.052,-69.886,71.69229043936448,1.4979342340615518
CAMELSH__01047000,188,85,CAMELSH,2,1,96,44.869,-69.955,56.014402890627395,17.952580662162926
CAMELSH__01047150,105,52,CAMELSH,1,1,96,44.779,-69.887,57.49774079203288,8.862970330830233
CAMELSH__01047200,78,38,CAMELSH,0,1,96,44.858,-70.485,25.27822240968753,25.27822240968753
CAMELSH__01048000,193,86,CAMELSH,2,1,96,44.708,-69.938,50.99522678835265,8.862970330830233
CAMELSH__01048220,80,40,CAMELSH,0,1,96,44.948,-69.657,80.98383755304171,21.399305102219834
CAMELSH__01049000,174,78,CAMELSH,2,1,96,44.717,-69.414,81.60627517076365,32.0461276110529
CAMELSH__01049500,258,117,CAMELSH,3,1,96,44.229,-69.778,36.28918075564704,36.28918075564704
CAMELSH__01052500,170,78,CAMELSH,2,2,37,44.877,-71.057,45.12773800973039,11.894935929344514
CAMELSH__01053500,255,117,CAMELSH,3,2,37,44.783,-71.129,51.473895186693944,11.894935929344514
CAMELSH__01053600,106,52,CAMELSH,1,2,37,44.666,-71.181,58.95237823908439,13.643032851455846
CAMELSH__01054000,241,111,CAMELSH,3,2,37,44.436,-71.19,72.8859263141225,25.58477456458314
