station_id,n_training_batches,n_validation_batches,source,size_bin,fold
BOMAustralia__419112,61,33,BOMAustralia,0,2
BOMAustralia__419905,7,3,BOMAustralia,0,3
BOMAustralia__420003,162,71,BOMAustralia,1,4
BOMAustralia__420004,34,17,BOMAustralia,0,1
BOMAustralia__420007,96,49,BOMAustralia,0,3
BOMAustralia__420017,186,81,BOMAustralia,2,2
BOMAustralia__420022,97,49,BOMAustralia,0,4
BOMAustralia__421011,176,77,BOMAustralia,2,4
BOMAustralia__421015,6,3,BOMAustralia,0,2
BOMAustralia__421019,174,76,BOMAustralia,2,4
BOMAustralia__421026,174,76,BOMAustralia,2,2
BOMAustralia__421048,161,71,BOMAustralia,1,3
BOMAustralia__421055,158,69,BOMAustralia,1,1
BOMAustralia__421076,22,10,BOMAustralia,0,2
BOMAustralia__421079,181,79,BOMAustralia,2,0
BOMAustralia__421083,13,6,BOMAustralia,0,0
BOMAustralia__421107,154,66,BOMAustralia,1,0
BOMAustralia__421146,121,52,BOMAustralia,1,3
BOMAustralia__421149,159,73,BOMAustralia,1,1
BOMAustralia__421150,153,67,BOMAustralia,1,4
BOMAustralia__421153,78,34,BOMAustralia,0,1
BOMAustralia__421164,138,61,BOMAustralia,1,2
BOMAustralia__421166,133,58,BOMAustralia,1,1
BOMAustralia__421176,61,27,BOMAustralia,0,2
BOMAustralia__421184,106,53,BOMAustralia,1,2
BOMAustralia__421188,104,52,BOMAustralia,1,2
BOMAustralia__421197,73,39,BOMAustralia,0,1
BOMAustralia__422005,159,68,BOMAustralia,1,0
BOMAustralia__422007,159,68,BOMAustralia,1,3
BOMAustralia__422010,98,42,BOMAustralia,0,4
BOMAustralia__422013,123,53,BOMAustralia,1,1
BOMAustralia__422022,143,62,BOMAustralia,1,2
BOMAustralia__422026,166,76,BOMAustralia,2,2
BOMAustralia__422029,133,60,BOMAustralia,1,4
BOMAustralia__422031,90,39,BOMAustralia,0,2
BOMAustralia__422202B,143,61,BOMAustralia,1,1
BOMAustralia__422206A,149,64,BOMAustralia,1,0
BOMAustralia__422207A,126,54,BOMAustralia,1,3
BOMAustralia__422208A,100,43,BOMAustralia,0,3
BOMAustralia__422209A,122,53,BOMAustralia,1,2
BOMAustralia__422210A,160,68,BOMAustralia,1,1
BOMAustralia__422211A,104,45,BOMAustralia,0,2
BOMAustralia__422306A,145,62,BOMAustralia,1,1
BOMAustralia__422310C,165,72,BOMAustralia,1,4
BOMAustralia__422313B,153,66,BOMAustralia,1,3
BOMAustralia__422316A,156,67,BOMAustralia,1,2
BOMAustralia__422317B,6,3,BOMAustralia,0,2
BOMAustralia__422319B,155,67,BOMAustralia,1,4
BOMAustralia__422323A,174,76,BOMAustralia,2,0
BOMAustralia__422326A,199,87,BOMAustralia,2,3
BOMAustralia__422334A,143,62,BOMAustralia,1,3
BOMAustralia__422337A,2,1,BOMAustralia,0,4
BOMAustralia__422338A,124,54,BOMAustralia,1,4
BOMAustralia__422339A,3,2,BOMAustralia,0,1
BOMAustralia__422341A,152,66,BOMAustralia,1,2
BOMAustralia__422343A,136,59,BOMAustralia,1,0
BOMAustralia__422345A,161,70,BOMAustralia,1,3
BOMAustralia__422350A,162,71,BOMAustralia,1,4
BOMAustralia__422353A,64,30,BOMAustralia,0,2
BOMAustralia__422355A,157,70,BOMAustralia,1,1
BOMAustralia__422356A,8,3,BOMAustralia,0,0
BOMAustralia__422360A,48,28,BOMAustralia,0,1
BOMAustralia__422361A,49,29,BOMAustralia,0,3
BOMAustralia__422394A,161,70,BOMAustralia,1,2
BOMAustralia__422395A,15,7,BOMAustralia,0,4
BOMAustralia__422405A,2,1,BOMAustralia,0,0
BOMAustralia__422407A,5,2,BOMAustralia,0,2
BOMAustralia__422501A,130,56,BOMAustralia,1,0
BOMAustralia__423001,183,80,BOMAustralia,2,0
BOMAustralia__423204A,128,55,BOMAustralia,1,1
BOMAustralia__424202A,2,1,BOMAustralia,0,0
BOMAustralia__425018,117,50,BOMAustralia,1,1
BOMAustralia__425019,145,62,BOMAustralia,1,1
BOMAustralia__600162,144,63,BOMAustralia,1,3
BOMAustralia__600166,208,93,BOMAustralia,2,2
BOMAustralia__600169,105,47,BOMAustralia,1,2
BOMAustralia__600179,205,91,BOMAustralia,2,0
BOMAustralia__600577,107,47,BOMAustralia,1,2
BOMAustralia__601004,209,92,BOMAustralia,2,2
BOMAustralia__601005,164,70,BOMAustralia,1,1
BOMAustralia__601008,200,88,BOMAustralia,2,2
BOMAustralia__601015,42,25,BOMAustralia,0,2
BOMAustralia__601016,37,23,BOMAustralia,0,3
BOMAustralia__602001,101,47,BOMAustralia,0,2
BOMAustralia__602002,11,5,BOMAustralia,0,3
BOMAustralia__602005,181,83,BOMAustralia,2,4
BOMAustralia__602015,202,92,BOMAustralia,2,4
BOMAustralia__602016,11,9,BOMAustralia,0,3
BOMAustralia__602021,110,49,BOMAustralia,1,3
BOMAustralia__602199,279,125,BOMAustralia,4,2
BOMAustralia__602600,39,22,BOMAustralia,0,4
BOMAustralia__603001,80,42,BOMAustralia,0,0
BOMAustralia__603003,251,111,BOMAustralia,3,4
BOMAustralia__603004,263,116,BOMAustralia,3,0
BOMAustralia__603006,49,24,BOMAustralia,0,4
BOMAustralia__603008,60,28,BOMAustralia,0,4
BOMAustralia__603013,189,86,BOMAustralia,2,4
BOMAustralia__603020,174,78,BOMAustralia,2,4
BOMAustralia__603023,170,76,BOMAustralia,2,1
BOMAustralia__603024,154,70,BOMAustralia,1,2
BOMAustralia__603028,24,15,BOMAustralia,0,2
BOMAustralia__603136,253,112,BOMAustralia,3,3
BOMAustralia__603190,234,105,BOMAustralia,3,4
BOMAustralia__604002,51,25,BOMAustralia,0,0
BOMAustralia__604003,48,22,BOMAustralia,0,3
BOMAustralia__605012,255,112,BOMAustralia,3,4
BOMAustralia__605013,16,9,BOMAustralia,0,4
BOMAustralia__606002,216,94,BOMAustralia,2,1
BOMAustralia__606004,13,11,BOMAustralia,0,0
BOMAustralia__606195,243,108,BOMAustralia,3,1
BOMAustralia__606218,211,96,BOMAustralia,2,0
BOMAustralia__607002,192,86,BOMAustralia,2,1
BOMAustralia__607003,215,95,BOMAustralia,2,1
BOMAustralia__607006,52,27,BOMAustralia,0,1
BOMAustralia__607013,275,122,BOMAustralia,4,1
BOMAustralia__607024,63,29,BOMAustralia,0,4
BOMAustralia__607027,131,57,BOMAustralia,1,1
BOMAustralia__607028,36,16,BOMAustralia,0,1
BOMAustralia__607038,69,37,BOMAustralia,0,2
BOMAustralia__607144,241,107,BOMAustralia,3,4
BOMAustralia__607155,196,88,BOMAustralia,2,3
BOMAustralia__607220,198,88,BOMAustralia,2,1
BOMAustralia__607600,71,31,BOMAustralia,0,3
BOMAustralia__608002,246,110,BOMAustralia,3,1
BOMAustralia__608004,73,36,BOMAustralia,0,0
BOMAustralia__608006,115,55,BOMAustralia,1,0
BOMAustralia__608015,116,56,BOMAustralia,1,2
BOMAustralia__608019,98,47,BOMAustralia,0,2
BOMAustralia__608020,86,44,BOMAustralia,0,2
BOMAustralia__608151,252,111,BOMAustralia,3,3
BOMAustralia__608171,200,89,BOMAustralia,2,2
BOMAustralia__6090017,83,42,BOMAustralia,0,4
BOMAustralia__609002,245,109,BOMAustralia,3,3
BOMAustralia__609003,65,30,BOMAustralia,0,4
BOMAustralia__609005,198,88,BOMAustralia,2,2
BOMAustralia__609011,41,22,BOMAustralia,0,4
BOMAustralia__609014,199,86,BOMAustralia,2,3
BOMAustralia__609015,206,88,BOMAustralia,2,1
BOMAustralia__609016,111,51,BOMAustralia,1,3
BOMAustralia__609017,190,85,BOMAustralia,2,1
BOMAustralia__609021,137,64,BOMAustralia,1,1
BOMAustralia__609022,187,83,BOMAustralia,2,0
BOMAustralia__609023,167,76,BOMAustralia,2,4
BOMAustralia__609028,49,22,BOMAustralia,0,0
BOMAustralia__609029,34,17,BOMAustralia,0,4
BOMAustralia__609035,25,13,BOMAustralia,0,2
BOMAustralia__609036,6,3,BOMAustralia,0,2
BOMAustralia__609037,26,13,BOMAustralia,0,1
BOMAustralia__609038,18,9,BOMAustralia,0,1
BOMAustralia__609053,105,49,BOMAustralia,1,4
BOMAustralia__609064,32,16,BOMAustralia,0,3
BOMAustralia__609077,33,22,BOMAustralia,0,2
BOMAustralia__609079,33,22,BOMAustralia,0,3
BOMAustralia__610000,24,18,BOMAustralia,0,1
BOMAustralia__610003,99,46,BOMAustralia,0,4
BOMAustralia__610008,180,80,BOMAustralia,2,3
BOMAustralia__610009,152,71,BOMAustralia,1,2
BOMAustralia__610010,217,100,BOMAustralia,3,3
BOMAustralia__610015,176,80,BOMAustralia,2,1
BOMAustralia__610016,27,15,BOMAustralia,0,0
BOMAustralia__610025,118,54,BOMAustralia,1,3
BOMAustralia__610028,141,67,BOMAustralia,1,3
BOMAustralia__610030,56,29,BOMAustralia,0,0
BOMAustralia__610045,61,34,BOMAustralia,0,0
BOMAustralia__610219,202,89,BOMAustralia,2,4
BOMAustralia__611007,228,103,BOMAustralia,3,4
BOMAustralia__611009,166,74,BOMAustralia,2,2
BOMAustralia__611221,97,45,BOMAustralia,0,2
BOMAustralia__612001,241,107,BOMAustralia,3,3
BOMAustralia__612002,273,122,BOMAustralia,4,1
BOMAustralia__612007,195,89,BOMAustralia,2,4
BOMAustralia__612014,186,83,BOMAustralia,2,3
BOMAustralia__612019,94,45,BOMAustralia,0,3
BOMAustralia__612021,49,24,BOMAustralia,0,2
BOMAustralia__612022,260,115,BOMAustralia,3,3
BOMAustralia__612023,74,35,BOMAustralia,0,2
BOMAustralia__612025,194,84,BOMAustralia,2,2
BOMAustralia__612032,230,103,BOMAustralia,3,4
BOMAustralia__612034,258,115,BOMAustralia,3,1
BOMAustralia__612038,125,57,BOMAustralia,1,1
BOMAustralia__612039,54,25,BOMAustralia,0,3
BOMAustralia__612044,8,9,BOMAustralia,0,0
BOMAustralia__612047,41,23,BOMAustralia,0,2
BOMAustralia__612059,30,20,BOMAustralia,0,1
BOMAustralia__612230,239,107,BOMAustralia,3,1
BOMAustralia__613003,13,11,BOMAustralia,0,1
BOMAustralia__613007,292,131,BOMAustralia,4,4
BOMAustralia__613016,30,19,BOMAustralia,0,3
BOMAustralia__613019,173,79,BOMAustralia,2,0
BOMAustralia__613020,112,54,BOMAustralia,1,1
BOMAustralia__613022,31,16,BOMAustralia,0,3
BOMAustralia__613023,36,22,BOMAustralia,0,1
BOMAustralia__613029,25,15,BOMAustralia,0,0
BOMAustralia__613031,178,82,BOMAustralia,2,4
BOMAustralia__613032,33,19,BOMAustralia,0,0
BOMAustralia__613036,91,46,BOMAustralia,0,4
BOMAustralia__614005,139,66,BOMAustralia,1,0
BOMAustralia__614006,305,134,BOMAustralia,4,0
BOMAustralia__614011,38,21,BOMAustralia,0,1
BOMAustralia__614016,37,19,BOMAustralia,0,1
BOMAustralia__614019,154,70,BOMAustralia,1,4
BOMAustralia__614020,62,29,BOMAustralia,0,0
BOMAustralia__614025,105,51,BOMAustralia,1,2
BOMAustralia__614034,13,9,BOMAustralia,0,3
BOMAustralia__614038,12,7,BOMAustralia,0,0
BOMAustralia__614047,104,51,BOMAustralia,1,1
BOMAustralia__614058,43,20,BOMAustralia,0,2
BOMAustralia__614059,31,16,BOMAustralia,0,1
BOMAustralia__614060,104,47,BOMAustralia,1,2
BOMAustralia__614073,118,57,BOMAustralia,1,4
BOMAustralia__614105,117,55,BOMAustralia,1,2
BOMAustralia__614123,15,9,BOMAustralia,0,1
BOMAustralia__614125,112,53,BOMAustralia,1,1
BOMAustralia__614126,58,29,BOMAustralia,0,4
BOMAustralia__614130,38,24,BOMAustralia,0,0
BOMAustralia__614196,274,122,BOMAustralia,4,2
BOMAustralia__614224,265,117,BOMAustralia,3,4
BOMAustralia__615010,11,8,BOMAustralia,0,0
BOMAustralia__615011,111,48,BOMAustralia,1,0
BOMAustralia__615016,78,33,BOMAustralia,0,4
BOMAustralia__615018,9,4,BOMAustralia,0,0
BOMAustralia__615027,185,81,BOMAustralia,2,0
BOMAustralia__615063,121,59,BOMAustralia,1,3
BOMAustralia__615222,75,36,BOMAustralia,0,3
BOMAustralia__615600,33,15,BOMAustralia,0,2
BOMAustralia__615602,38,22,BOMAustralia,0,2
BOMAustralia__615604,25,10,BOMAustralia,0,0
BOMAustralia__615606,34,20,BOMAustralia,0,4
BOMAustralia__616001,254,113,BOMAustralia,3,3
BOMAustralia__616002,170,74,BOMAustralia,2,3
BOMAustralia__616005,99,48,BOMAustralia,0,1
BOMAustralia__616006,235,104,BOMAustralia,3,4
BOMAustralia__616010,84,37,BOMAustralia,0,2
BOMAustralia__616013,209,94,BOMAustralia,2,3
BOMAustralia__616014,93,45,BOMAustralia,0,2
BOMAustralia__616019,269,118,BOMAustralia,4,3
BOMAustralia__616025,63,30,BOMAustralia,0,0
BOMAustralia__616027,299,133,BOMAustralia,4,0
BOMAustralia__616039,79,36,BOMAustralia,0,1
BOMAustralia__616041,243,110,BOMAustralia,3,0
BOMAustralia__616082,202,90,BOMAustralia,2,0
BOMAustralia__616084,185,82,BOMAustralia,2,1
BOMAustralia__616086,154,72,BOMAustralia,1,2
BOMAustralia__616134,117,56,BOMAustralia,1,2
BOMAustralia__616216,182,80,BOMAustralia,2,0
BOMAustralia__617002,184,80,BOMAustralia,2,2
BOMAustralia__617003,238,105,BOMAustralia,3,3
BOMAustralia__617017,103,47,BOMAustralia,0,3
BOMAustralia__617165,259,117,BOMAustralia,3,0
BOMAustralia__618601,40,21,BOMAustralia,0,4
BOMAustralia__618602,6,2,BOMAustralia,0,2
BOMAustralia__701003,73,33,BOMAustralia,0,3
BOMAustralia__701004,14,9,BOMAustralia,0,1
BOMAustralia__701005,64,29,BOMAustralia,0,0
BOMAustralia__701006,56,26,BOMAustralia,0,3
BOMAustralia__701007,213,93,BOMAustralia,2,4
BOMAustralia__701008,197,86,BOMAustralia,2,1
BOMAustralia__701009,270,121,BOMAustralia,4,1
BOMAustralia__701013,80,34,BOMAustralia,0,3
BOMAustralia__701015,73,34,BOMAustralia,0,1
BOMAustralia__701601,32,13,BOMAustralia,0,0
BOMAustralia__703001,90,41,BOMAustralia,0,0
BOMAustralia__704001,42,19,BOMAustralia,0,3
BOMAustralia__704002,18,8,BOMAustralia,0,4
BOMAustralia__704004,15,9,BOMAustralia,0,1
BOMAustralia__705001,153,67,BOMAustralia,1,3
BOMAustralia__705002,12,7,BOMAustralia,0,0
BOMAustralia__706207,16,8,BOMAustralia,0,0
BOMAustralia__707001,23,12,BOMAustralia,0,4
BOMAustralia__707004,25,14,BOMAustralia,0,2
BOMAustralia__707005,159,69,BOMAustralia,1,3
BOMAustralia__708001,166,72,BOMAustralia,2,2
BOMAustralia__708009,39,20,BOMAustralia,0,4
BOMAustralia__708011,196,86,BOMAustralia,2,1
BOMAustralia__708013,136,58,BOMAustralia,1,0
BOMAustralia__708014,156,67,BOMAustralia,1,0
BOMAustralia__708016,34,15,BOMAustralia,0,0
BOMAustralia__7081057,15,7,BOMAustralia,0,1
BOMAustralia__708227,24,13,BOMAustralia,0,2
BOMAustralia__709001,3,3,BOMAustralia,0,4
BOMAustralia__709003,12,8,BOMAustralia,0,0
BOMAustralia__709004,180,79,BOMAustralia,2,4
BOMAustralia__709005,146,63,BOMAustralia,1,0
BOMAustralia__709006,24,11,BOMAustralia,0,1
BOMAustralia__709007,29,15,BOMAustralia,0,3
BOMAustralia__709008,118,54,BOMAustralia,1,3
BOMAustralia__709009,23,12,BOMAustralia,0,3
BOMAustralia__709010,169,73,BOMAustralia,2,0
BOMAustralia__710204,196,86,BOMAustralia,2,0
BOMAustralia__802002,43,20,BOMAustralia,0,3
BOMAustralia__802198,204,90,BOMAustralia,2,0
BOMAustralia__802202,222,96,BOMAustralia,3,2
BOMAustralia__802213,221,97,BOMAustralia,3,2
BOMAustralia__803001,227,99,BOMAustralia,3,0
BOMAustralia__803002,44,20,BOMAustralia,0,3
BOMAustralia__804001,211,92,BOMAustralia,2,3
BOMAustralia__806001,44,21,BOMAustralia,0,2
BOMAustralia__806004,55,26,BOMAustralia,0,2
BOMAustralia__806005,53,25,BOMAustralia,0,2
BOMAustralia__806007,11,7,BOMAustralia,0,2
BOMAustralia__808001,34,17,BOMAustralia,0,1
BOMAustralia__8091114,15,11,BOMAustralia,0,1
BOMAustralia__809306,26,13,BOMAustralia,0,4
BOMAustralia__809317,43,19,BOMAustralia,0,4
BOMAustralia__809322,219,96,BOMAustralia,3,1
BOMAustralia__809335,20,15,BOMAustralia,0,4
BOMAustralia__809340,155,67,BOMAustralia,1,1
BOMAustralia__912103A,4,2,BOMAustralia,0,0
BOMAustralia__912104A,4,1,BOMAustralia,0,4
BOMAustralia__912108A,4,2,BOMAustralia,0,0
BOMAustralia__912110A,3,1,BOMAustralia,0,3
BOMAustralia__912113A,2,1,BOMAustralia,0,0
BOMAustralia__912115A,3,1,BOMAustralia,0,4
BOMAustralia__913003A,3,1,BOMAustralia,0,4
BOMAustralia__913004A,121,52,BOMAustralia,1,2
BOMAustralia__913006A,152,67,BOMAustralia,1,0
BOMAustralia__913008A,3,1,BOMAustralia,0,4
BOMAustralia__913009A,2,1,BOMAustralia,0,3
BOMAustralia__913010A,90,39,BOMAustralia,0,0
BOMAustralia__913012A,2,1,BOMAustralia,0,0
BOMAustralia__913014A,153,66,BOMAustralia,1,3
BOMAustralia__915004A,2,1,BOMAustralia,0,3
BOMAustralia__915005A,2,1,BOMAustralia,0,2
BOMAustralia__915009A,1,1,BOMAustralia,0,0
BOMAustralia__915011A,134,57,BOMAustralia,1,0
BOMAustralia__915013A,37,17,BOMAustralia,0,0
BOMAustralia__915014A,2,1,BOMAustralia,0,4
BOMAustralia__915203B,42,18,BOMAustralia,0,1
BOMAustralia__915203C,61,34,BOMAustralia,0,0
BOMAustralia__915204A,6,3,BOMAustralia,0,1
BOMAustralia__915206A,137,59,BOMAustralia,1,3
BOMAustralia__915208A,116,50,BOMAustralia,1,1
BOMAustralia__915209A,2,1,BOMAustralia,0,3
BOMAustralia__915210A,2,1,BOMAustralia,0,0
BOMAustralia__915211A,137,58,BOMAustralia,1,2
BOMAustralia__916002A,5,2,BOMAustralia,0,3
BOMAustralia__916003A,2,1,BOMAustralia,0,0
BOMAustralia__916004A,5,3,BOMAustralia,0,2
BOMAustralia__917002A,4,2,BOMAustralia,0,4
BOMAustralia__917004A,3,2,BOMAustralia,0,2
BOMAustralia__917005A,2,1,BOMAustralia,0,4
BOMAustralia__917006A,5,2,BOMAustralia,0,3
BOMAustralia__917007A,3,1,BOMAustralia,0,1
BOMAustralia__917008A,4,2,BOMAustralia,0,1
BOMAustralia__917013A,4,2,BOMAustralia,0,2
BOMAustralia__917104A,149,64,BOMAustralia,1,1
BOMAustralia__917105A,4,2,BOMAustralia,0,2
BOMAustralia__917106A,142,62,BOMAustralia,1,0
BOMAustralia__917107A,152,65,BOMAustralia,1,3
BOMAustralia__917108A,3,1,BOMAustralia,0,4
BOMAustralia__917112A,6,4,BOMAustralia,0,3
BOMAustralia__917113A,5,3,BOMAustralia,0,0
BOMAustralia__917115A,159,69,BOMAustralia,1,3
BOMAustralia__918002A,4,2,BOMAustralia,0,3
BOMAustralia__918003A,148,65,BOMAustralia,1,0
BOMAustralia__919001B,6,3,BOMAustralia,0,3
BOMAustralia__919002A,6,3,BOMAustralia,0,2
BOMAustralia__919003A,152,67,BOMAustralia,1,3
BOMAustralia__919004A,6,3,BOMAustralia,0,1
BOMAustralia__919005A,116,51,BOMAustralia,1,4
BOMAustralia__919006A,8,4,BOMAustralia,0,0
BOMAustralia__919007A,7,3,BOMAustralia,0,1
BOMAustralia__919008A,8,5,BOMAustralia,0,3
BOMAustralia__919013A,118,52,BOMAustralia,1,3
BOMAustralia__919201A,163,71,BOMAustralia,1,2
BOMAustralia__919202A,8,5,BOMAustralia,0,0
BOMAustralia__919203A,11,6,BOMAustralia,0,1
BOMAustralia__919204A,155,68,BOMAustralia,1,0
BOMAustralia__919205A,6,3,BOMAustralia,0,4
BOMAustralia__919305B,8,4,BOMAustralia,0,1
BOMAustralia__919309A,154,67,BOMAustralia,1,2
BOMAustralia__919310A,161,70,BOMAustralia,1,4
BOMAustralia__919311A,185,81,BOMAustralia,2,4
BOMAustralia__919312A,5,3,BOMAustralia,0,0
BOMAustralia__920001A,6,4,BOMAustralia,0,1
BOMAustralia__920002A,9,5,BOMAustralia,0,3
BOMAustralia__920003A,7,4,BOMAustralia,0,3
BOMAustralia__921001A,7,3,BOMAustralia,0,3
BOMAustralia__921002A,8,5,BOMAustralia,0,4
BOMAustralia__922001A,188,82,BOMAustralia,2,4
BOMAustralia__922101B,163,71,BOMAustralia,1,2
BOMAustralia__923001A,151,66,BOMAustralia,1,1
BOMAustralia__924001A,7,5,BOMAustralia,0,0
BOMAustralia__924101A,7,4,BOMAustralia,0,3
BOMAustralia__925001A,172,75,BOMAustralia,2,4
BOMAustralia__925003A,11,6,BOMAustralia,0,1
BOMAustralia__926001A,10,6,BOMAustralia,0,3
BOMAustralia__926002A,165,72,BOMAustralia,1,3
BOMAustralia__926003A,11,5,BOMAustralia,0,0
BOMAustralia__A0040502,3,1,BOMAustralia,0,2
BOMAustralia__A0040508,2,1,BOMAustralia,0,4
BOMAustralia__A2390504,40,19,BOMAustralia,0,3
BOMAustralia__A2390505,192,85,BOMAustralia,2,0
BOMAustralia__A2390506,237,104,BOMAustralia,3,1
BOMAustralia__A2390510,63,30,BOMAustralia,0,0
BOMAustralia__A2390515,128,55,BOMAustralia,1,4
BOMAustralia__A2390519,173,76,BOMAustralia,2,3
BOMAustralia__A2390523,101,45,BOMAustralia,0,2
BOMAustralia__A2390527,98,45,BOMAustralia,0,1
BOMAustralia__A2390532,127,56,BOMAustralia,1,3
BOMAustralia__A2390533,113,52,BOMAustralia,1,4
BOMAustralia__A2390534,102,46,BOMAustralia,0,2
BOMAustralia__A2390535,4,2,BOMAustralia,0,4
BOMAustralia__A2390536,62,27,BOMAustralia,0,4
BOMAustralia__A2390542,86,38,BOMAustralia,0,2
BOMAustralia__A2390556,129,57,BOMAustralia,1,0
BOMAustralia__A2390562,46,22,BOMAustralia,0,2
BOMAustralia__A2390563,69,31,BOMAustralia,0,1
BOMAustralia__A2390565,75,34,BOMAustralia,0,3
BOMAustralia__A2391001,18,11,BOMAustralia,0,0
BOMAustralia__A2391007,56,26,BOMAustralia,0,1
BOMAustralia__A2391023,148,65,BOMAustralia,1,0
BOMAustralia__A2391092,27,17,BOMAustralia,0,4
BOMAustralia__A2391146,85,44,BOMAustralia,0,0
BOMAustralia__A4260500,10,4,BOMAustralia,0,4
BOMAustralia__A4260502,13,6,BOMAustralia,0,4
BOMAustralia__A4260503,151,66,BOMAustralia,1,3
BOMAustralia__A4260504,185,81,BOMAustralia,2,4
BOMAustralia__A4260530,154,67,BOMAustralia,1,2
BOMAustralia__A4260533,141,61,BOMAustralia,1,4
BOMAustralia__A4260536,23,11,BOMAustralia,0,2
BOMAustralia__A4260580,23,17,BOMAustralia,0,3
BOMAustralia__A4260584,30,14,BOMAustralia,0,1
BOMAustralia__A4260588,32,16,BOMAustralia,0,2
BOMAustralia__A4260600,78,41,BOMAustralia,0,2
BOMAustralia__A4260688,137,62,BOMAustralia,1,0
BOMAustralia__A4261011,138,59,BOMAustralia,1,2
BOMAustralia__A4261014,143,62,BOMAustralia,1,1
BOMAustralia__A4261020,99,48,BOMAustralia,0,4
BOMAustralia__A4261029,78,34,BOMAustralia,0,3
BOMAustralia__A4261075,111,53,BOMAustralia,1,3
BOMAustralia__A4261077,31,20,BOMAustralia,0,4
BOMAustralia__A4261091,111,55,BOMAustralia,1,1
BOMAustralia__A4261101,115,51,BOMAustralia,1,3
BOMAustralia__A4261103,100,50,BOMAustralia,0,0
BOMAustralia__A4261174,96,49,BOMAustralia,0,4
BOMAustralia__A4261208,86,39,BOMAustralia,0,4
BOMAustralia__A4261225,65,34,BOMAustralia,0,3
BOMAustralia__A5010500,116,51,BOMAustralia,1,4
BOMAustralia__A5010503,130,57,BOMAustralia,1,2
BOMAustralia__A5011006,143,66,BOMAustralia,1,1
BOMAustralia__A5011029.1,68,34,BOMAustralia,0,1
BOMAustralia__A5030500.1,47,20,BOMAustralia,0,0
BOMAustralia__A5030502,176,77,BOMAustralia,2,4
BOMAustralia__A5030503,143,63,BOMAustralia,1,4
BOMAustralia__A5030506.1,49,22,BOMAustralia,0,1
BOMAustralia__A5030522,11,6,BOMAustralia,0,0
BOMAustralia__A5030537,159,69,BOMAustralia,1,0
BOMAustralia__A5030547.1,91,40,BOMAustralia,0,0
BOMAustralia__A5040500.1,141,64,BOMAustralia,1,0
BOMAustralia__A5040503,166,73,BOMAustralia,2,2
BOMAustralia__A5040521,21,10,BOMAustralia,0,4
BOMAustralia__A5040523.1,141,63,BOMAustralia,1,1
BOMAustralia__A5040546,38,18,BOMAustralia,0,2
BOMAustralia__A5040901.1,97,42,BOMAustralia,0,3
BOMAustralia__A5041009.1,48,23,BOMAustralia,0,1
BOMAustralia__A5041021.1,63,32,BOMAustralia,0,1
BOMAustralia__A5041022.1,30,14,BOMAustralia,0,3
BOMAustralia__A5041024.1,53,26,BOMAustralia,0,4
BOMAustralia__A5041036.1,43,21,BOMAustralia,0,0
BOMAustralia__A5050504,45,22,BOMAustralia,0,4
BOMAustralia__A5050510.1,63,28,BOMAustralia,0,4
BOMAustralia__A5050512,9,5,BOMAustralia,0,0
BOMAustralia__A5050532,154,66,BOMAustralia,1,0
BOMAustralia__A5050540,44,24,BOMAustralia,0,4
BOMAustralia__A5050543,105,50,BOMAustralia,1,0
BOMAustralia__A5051007,19,9,BOMAustralia,0,3
BOMAustralia__A5051009,10,6,BOMAustralia,0,0
BOMAustralia__A5051010.1,41,21,BOMAustralia,0,4
BOMAustralia__A5060500,167,72,BOMAustralia,2,4
BOMAustralia__A5060502,92,41,BOMAustralia,0,0
BOMAustralia__A5061008,142,63,BOMAustralia,1,3
BOMAustralia__A5070500,139,61,BOMAustralia,1,1
BOMAustralia__A5070501,148,65,BOMAustralia,1,0
BOMAustralia__A5090502,108,47,BOMAustralia,1,4
BOMAustralia__A5090503,145,63,BOMAustralia,1,4
BOMAustralia__A5091002,101,49,BOMAustralia,0,0
BOMAustralia__A5100502,6,3,BOMAustralia,0,2
BOMAustralia__A5100507,1,1,BOMAustralia,0,1
BOMAustralia__A5100510,2,1,BOMAustralia,0,4
BOMAustralia__A5100511,4,2,BOMAustralia,0,2
BOMAustralia__A5120500,135,59,BOMAustralia,1,2
BOMAustralia__A5120503,137,60,BOMAustralia,1,3
BOMAustralia__DD505501.1,43,19,BOMAustralia,0,1
BOMAustralia__DD505503.1,60,27,BOMAustralia,0,1
BOMAustralia__G0010005,11,5,BOMAustralia,0,4
BOMAustralia__G0050115,73,31,BOMAustralia,0,0
BOMAustralia__G0050116,49,21,BOMAustralia,0,0
BOMAustralia__G0050139,2,1,BOMAustralia,0,1
BOMAustralia__G0060009,93,40,BOMAustralia,0,2
BOMAustralia__G0060017,42,18,BOMAustralia,0,4
BOMAustralia__G0060041,68,29,BOMAustralia,0,1
BOMAustralia__G0060046,124,53,BOMAustralia,1,1
BOMAustralia__G0060047,75,32,BOMAustralia,0,0
BOMAustralia__G0060126,44,19,BOMAustralia,0,1
BOMAustralia__G0280010,36,16,BOMAustralia,0,2
BOMAustralia__G0280114,8,4,BOMAustralia,0,0
BOMAustralia__G0290002,15,6,BOMAustralia,0,1
BOMAustralia__G0290004,5,2,BOMAustralia,0,2
BOMAustralia__G0290012,12,5,BOMAustralia,0,2
BOMAustralia__G0290228,39,17,BOMAustralia,0,4
BOMAustralia__G8100106,87,38,BOMAustralia,0,3
BOMAustralia__G8100210,107,47,BOMAustralia,1,1
